Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG
1,Jahmyr Gibbs   DET (6),RB1,1,2,—,—,—,—,1.3
2,Bijan Robinson   ATL (11),RB2,2,1,—,—,—,—,1.7
3,Ja'Marr Chase   CIN (6),WR1,4,3,—,—,—,—,3.3
4,Puka Nacua   LAR (11),WR2,3,4,—,—,—,—,3.7
5,Jaxon Smith-Njigba   SEA (11),WR3,6,5,—,—,—,—,5.3
6,Christian McCaffrey   SF (8),RB3,5,6,—,—,—,—,5.7
7,Amon-Ra St. Brown   DET (6),WR4,7,10,—,—,—,—,8.0
8,Jonathan Taylor   IND (13),RB4,8,7,—,—,—,—,8.3
9,CeeDee Lamb   DAL (14),WR5,9,9,—,—,—,—,9.7
10,Justin Jefferson   MIN (6),WR6,10,11,—,—,—,—,10.0
11,James Cook III   BUF (7),RB5,12,8,—,—,—,—,10.7
12,Ashton Jeanty   LV (13),RB6,13,14,—,—,—,—,11.7
13,De'Von Achane   MIA (6),RB7,11,15,—,—,—,—,14.7
14,Saquon Barkley   PHI (10),RB8,14,19,—,—,—,—,15.3
15,Drake London   ATL (11),WR7,17,12,—,—,—,—,16.7
16,Omarion Hampton   LAC (7),RB9,19,17,—,—,—,—,16.7
17,Kenneth Walker III   KC (5),RB10,28,13,—,—,—,—,18.7
18,Jeremiyah Love   ARI (14),RB11,15,20,—,—,—,—,20.3
19,Derrick Henry   BAL (13),RB12,16,25,—,—,—,—,20.3
20,Brock Bowers   LV (13),TE1,21,21,—,—,—,—,20.3
21,Trey McBride   ARI (14),TE2,18,16,—,—,—,—,21.0
22,Chase Brown   CIN (6),RB13,26,23,—,—,—,—,21.7
23,Nico Collins   HOU (8),WR8,23,22,—,—,—,—,22.3
24,A.J. Brown   NE (11),WR9,25,29,—,—,—,—,23.7
25,Josh Allen   BUF (7),QB1,20,28,—,—,—,—,25.0
26,George Pickens   DAL (14),WR10,27,24,—,—,—,—,25.3
27,Rashee Rice   KC (5),WR11,22,33,—,—,—,—,26.3
28,Chris Olave   NO (8),WR12,30,26,—,—,—,—,28.0
29,Malik Nabers   NYG (8),WR13,31,18,—,—,—,—,30.7
30,Josh Jacobs   GB (11),RB14,24,27,—,—,—,—,31.0
31,Breece Hall   NYJ (13),RB15,29,32,—,—,—,—,31.3
32,Kyren Williams   LAR (11),RB16,36,31,—,—,—,—,32.7
33,DeVonta Smith   PHI (10),WR14,33,44,—,—,—,—,33.3
34,Garrett Wilson   NYJ (13),WR15,32,39,—,—,—,—,35.7
35,Javonte Williams   DAL (14),RB17,34,38,—,—,—,—,36.3
36,Zay Flowers   BAL (13),WR16,39,43,—,—,—,—,37.3
37,Tee Higgins   CIN (6),WR17,46,34,—,—,—,—,38.3
38,Tetairoa McMillan   CAR (5),WR18,37,36,—,—,—,—,39.0
39,Emeka Egbuka   TB (10),WR19,41,45,—,—,—,—,39.3
40,Travis Etienne Jr.   NO (8),RB18,43,35,—,—,—,—,39.7
41,Colston Loveland   CHI (10),TE3,40,41,—,—,—,—,40.3
42,Lamar Jackson   BAL (13),QB2,35,37,—,—,—,—,40.7
43,Ladd McConkey   LAC (7),WR20,52,42,—,—,—,—,42.7
44,Cam Skattebo   NYG (8),RB19,38,49,—,—,—,—,44.3
45,Bucky Irving   TB (10),RB20,48,30,—,—,—,—,45.7
46,Davante Adams   LAR (11),WR21,42,47,—,—,—,—,45.7
47,Jaylen Waddle   DEN (10),WR22,54,46,—,—,—,—,46.0
48,Terry McLaurin   WAS (7),WR23,49,55,—,—,—,—,47.7
49,Luther Burden III   CHI (10),WR24,67,40,—,—,—,—,50.7
50,Tyler Warren   IND (13),TE4,44,50,—,—,—,—,51.3
51,Quinshon Judkins   CLE (11),RB21,50,53,—,—,—,—,53.0
52,TreVeyon Henderson   NE (11),RB22,55,48,—,—,—,—,53.7
53,Drake Maye   NE (11),QB3,45,51,—,—,—,—,54.0
54,Jameson Williams   DET (6),WR25,58,52,—,—,—,—,54.7
55,David Montgomery   HOU (8),RB23,63,54,—,—,—,—,55.3
56,Jayden Daniels   WAS (7),QB4,47,60,—,—,—,—,56.3
57,DJ Moore   BUF (7),WR26,59,58,—,—,—,—,56.7
58,D'Andre Swift   CHI (10),RB24,61,64,—,—,—,—,57.3
59,Joe Burrow   CIN (6),QB5,53,56,—,—,—,—,59.0
60,Bhayshul Tuten   JAC (7),RB25,68,59,—,—,—,—,59.3
61,Carnell Tate   TEN (9),WR27,56,62,—,—,—,—,59.7
62,Mike Evans   SF (8),WR28,72,57,—,—,—,—,60.3
63,Rome Odunze   CHI (10),WR29,66,63,—,—,—,—,62.0
64,Jalen Hurts   PHI (10),QB6,51,65,—,—,—,—,63.3
65,Jadarian Price   SEA (11),RB26,60,80,—,—,—,—,68.3
66,Marvin Harrison Jr.   ARI (14),WR30,69,75,—,—,—,—,69.0
67,Christian Watson   GB (11),WR31,86,68,—,—,—,—,69.7
68,Jordyn Tyson   NO (8),WR32,82,69,—,—,—,—,73.3
69,DK Metcalf   PIT (9),WR33,73,72,—,—,—,—,73.7
70,Kyle Pitts Sr.   ATL (11),TE5,57,71,—,—,—,—,74.3
71,Brian Thomas Jr.   JAC (7),WR34,89,70,—,—,—,—,74.3
