Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,1,1,1,—,1,1,1.0,1
2,Bijan Robinson   ATL (11),RB2,2,2,2,—,2,2,2.0,2
3,Ja'Marr Chase   CIN (6),WR1,4,3,3,—,3,3,3.2,3
4,Puka Nacua   LAR (11),WR2,3,4,4,—,4,4,3.8,4
5,Christian McCaffrey   SF (8),RB3,6,5,7,—,5,5,5.6,5
6,Jaxon Smith-Njigba   SEA (11),WR3,5,6,6,—,6,6,5.8,6
7,Jonathan Taylor   IND (13),RB4,7,7,5,—,7,7,6.6,8  -1
8,Amon-Ra St. Brown   DET (6),WR4,8,8,8,—,9,8,8.2,7  +1
9,James Cook III   BUF (7),RB5,12,12,10,—,10,10,10.8,10  -1
10,De'Von Achane   MIA (6),RB6,11,11,9,—,11,13,11.0,14  -4
11,Ashton Jeanty   LV (13),RB7,14,14,11,—,8,9,11.2,12  -1
12,CeeDee Lamb   DAL (14),WR5,9,9,13,—,16,12,11.8,9  +3
13,Justin Jefferson   MIN (6),WR6,10,10,17,—,12,11,12.0,11  +2
14,Saquon Barkley   PHI (10),RB8,13,15,14,—,15,17,14.8,13  +1
15,Chase Brown   CIN (6),RB9,24,18,12,—,13,14,16.2,16  -1
16,Omarion Hampton   LAC (7),RB10,19,17,18,—,14,15,16.6,15  +1
17,Drake London   ATL (11),WR7,17,13,16,—,18,20,16.8,17
18,Derrick Henry   BAL (13),RB11,18,25,15,—,20,21,19.8,20  -2
19,Trey McBride   ARI (14),TE1,15,16,28,—,21,23,20.6,22  -3
20,Kenneth Walker III   KC (5),RB12,23,23,22,—,17,19,20.8,18  +2
21,A.J. Brown   NE (11),WR8,25,19,23,—,19,18,20.8,19  +2
22,Brock Bowers   LV (13),TE2,22,21,26,—,23,16,21.6,21  +1
23,Jeremiyah Love   ARI (14),RB13,16,20,30,—,22,30,23.6,25  -2
24,George Pickens   DAL (14),WR9,28,24,19,—,24,25,24.0,24
25,Rashee Rice   KC (5),WR10,20,22,20,—,33,26,24.2,26  -1
26,Nico Collins   HOU (8),WR11,26,26,25,—,26,22,25.0,23  +3
27,Josh Allen   BUF (7),QB1,21,30,21,—,25,32,25.8,27
28,Chris Olave   NO (8),WR12,29,27,29,—,29,27,28.2,30  -2
29,Josh Jacobs   GB (11),RB14,27,29,24,—,27,39,29.2,31  -2
30,Kyren Williams   LAR (11),RB15,37,31,27,—,30,28,30.6,29  +1
31,Malik Nabers   NYG (8),WR13,34,28,34,—,34,24,30.8,28  +3
32,Breece Hall   NYJ (13),RB16,31,32,31,—,32,31,31.4,32
33,Javonte Williams   DAL (14),RB17,32,38,33,—,28,33,32.8,34  -1
34,DeVonta Smith   PHI (10),WR14,33,44,36,—,35,29,35.4,33  +1
35,Cam Skattebo   NYG (8),RB18,38,49,32,—,31,41,38.2,41  -6
