Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,1,1,1,1,1,1.0,1
2,Bijan Robinson   ATL (11),RB2,2,2,2,2,2,2.0,2
3,Ja'Marr Chase   CIN (6),WR1,3,3,3,3,3,3.0,3
4,Puka Nacua   LAR (11),WR2,4,4,5,4,4,4.2,4
5,Christian McCaffrey   SF (8),RB3,7,5,7,5,5,5.8,5
6,Jaxon Smith-Njigba   SEA (11),WR3,5,6,6,6,6,5.8,7  -1
7,Jonathan Taylor   IND (13),RB4,6,7,4,7,7,6.2,6  +1
8,Amon-Ra St. Brown   DET (6),WR4,8,8,8,8,8,8.0,8
9,James Cook III   BUF (7),RB5,9,10,9,9,9,9.2,9
10,CeeDee Lamb   DAL (14),WR5,10,9,14,13,11,11.4,10
11,De'Von Achane   MIA (6),RB6,11,12,10,11,13,11.4,13  -2
12,Justin Jefferson   MIN (6),WR6,12,11,15,12,10,12.0,12
13,Chase Brown   CIN (6),RB7,15,15,11,10,12,12.6,14  -1
14,Saquon Barkley   PHI (10),RB8,13,13,13,15,14,13.6,11  +3
15,Omarion Hampton   LAC (7),RB9,18,16,17,14,15,16.0,15
16,Derrick Henry   BAL (13),RB10,14,20,12,19,19,16.8,17  -1
17,Ashton Jeanty   LV (13),RB11,19,14,19,17,18,17.4,20  -3
18,Kenneth Walker III   KC (5),RB12,23,19,16,16,16,18.0,16  +2
19,Drake London   ATL (11),WR7,16,17,20,21,21,19.0,19
20,A.J. Brown   NE (11),WR8,21,18,21,18,17,19.0,18  +2
21,Brock Bowers   LV (13),TE1,22,23,26,23,20,22.8,22  -1
22,Josh Allen   BUF (7),QB1,17,21,18,28,31,23.0,24  -2
23,Trey McBride   ARI (14),TE2,20,22,27,26,25,24.0,26  -3
24,Nico Collins   HOU (8),WR9,25,25,25,25,22,24.4,21  +3
25,George Pickens   DAL (14),WR10,27,24,22,24,26,24.6,23  +2
26,Chris Olave   NO (8),WR11,28,30,28,20,24,26.0,28  -2
27,Malik Nabers   NYG (8),WR12,30,27,29,27,23,27.2,25  +2
28,Rashee Rice   KC (5),WR13,26,28,23,34,29,28.0,32  -4
29,Jeremiyah Love   ARI (14),RB13,24,26,30,29,33,28.4,30  -1
30,Kyren Williams   LAR (11),RB14,34,29,24,30,27,28.8,27  +3
31,Javonte Williams   DAL (14),RB15,29,35,31,22,30,29.4,29  +2
32,Breece Hall   NYJ (13),RB16,31,33,39,31,32,33.2,33  -1
33,DeVonta Smith   PHI (10),WR14,35,36,32,37,28,33.6,31  +2
34,Travis Etienne Jr.   NO (8),RB17,37,44,33,32,35,36.2,38  -4
35,Zay Flowers   BAL (13),WR15,39,41,35,36,34,37.0,36  -1
36,Cam Skattebo   NYG (8),RB18,40,43,36,39,40,39.6,42  -6
37,Tetairoa McMillan   CAR (5),WR16,36,37,44,48,36,40.2,40  -3
