team,pred_wins,dk_wins,diff
NE,10.7,8.5,2.2
SEA,7.6,5.5,2.1
NYJ,7.5,5.5,2
ARI,10.2,8.5,1.7
TEN,10.3,9,1.3
CAR,7.4,6.5,0.9
DET,7.1,6.5,0.6
HOU,4.9,4.5,0.4
PIT,7.9,7.5,0.4
CLE,8.7,8.5,0.2
DAL,10.2,10,0.2
NYG,7.1,7,0.1
CHI,6,6,0
MIA,9,9,0
WAS,8,8,0
IND,9.9,10,-0.1
JAX,6.3,6.5,-0.2
ATL,4.7,5,-0.3
SF,9.7,10,-0.3
KC,10.1,10.5,-0.4
MIN,9.1,9.5,-0.4
BAL,9,9.5,-0.5
GB,10.3,11,-0.7
LAC,9.3,10,-0.7
NO,7.7,8.5,-0.8
TB,10.7,11.5,-0.8
CIN,9,10,-1
DEN,9,10,-1
LA,9.5,10.5,-1
BUF,10.2,11.5,-1.3
PHI,8.2,9.5,-1.3
LV,6.7,8.5,-1.8
