team,pred_wins_svm,pred_lower,pred_upper,dk_wins
ARI,9.6,9,10.5,8.5
ATL,8.4,7.6,9.4,8
BAL,11.6,10.3,12.4,11.5
BUF,12.2,11.5,12.7,12
CAR,6.6,6,7.5,6.5
CHI,7.5,6.2,8.1,8
CIN,10.1,9.4,10.9,9.5
CLE,5.9,4.8,6.5,5
DAL,6.5,5.3,7.3,8
DEN,9.7,8.9,10.8,9.5
DET,10.4,9.4,11.4,10.5
GB,10.1,9,11.1,9.5
HOU,8.1,7.6,9,9.5
IND,8.4,7.6,9.1,7.5
JAX,5.4,4.9,6.4,7.5
KC,9.2,8.5,10.2,11.5
LA,9.8,9.3,10.3,10
LAC,9,8.3,10.1,9.5
LV,6.7,5.3,8.1,6
MIA,7.6,6.8,8.8,7.5
MIN,7.4,6.4,9,9.5
NE,8,7,8.5,8.5
NO,5.9,4.7,7.1,5
NYG,7.7,6.2,8.6,5.5
NYJ,6,5.3,6.8,6
PHI,10.5,8.9,11.2,11.5
PIT,10.5,9,11.2,8.5
SEA,6.6,6.1,7.6,8
SF,8.5,7.8,9.3,10.5
TB,10.7,10.1,11.7,9.5
TEN,8.4,7.3,9,6.5
WAS,9,7.6,10.1,9.5
