team,dk_wins,odds_over,odds_under
ARI,3.5,-136,115
ATL,7.5,120,-140
BAL,11.5,115,-140
BUF,10.5,-120,100
CAR,7.5,115,-136
CHI,9.5,105,-125
CIN,10.5,115,-140
CLE,5.5,-125,105
DAL,9.5,100,-120
DEN,9.5,-115,-105
DET,10.5,-115,-105
GB,9.5,-130,110
HOU,9.5,-146,124
IND,7.5,-140,115
JAX,8.5,-140,116
KC,10.5,115,-140
LA,11.5,-130,110
LAC,9.5,-140,115
LV,5.5,-150,125
MIA,3.5,-140,110
MIN,8.5,-120,100
NE,10.5,115,-140
NO,7.5,-120,100
NYG,7.5,-110,-110
NYJ,5.5,-120,100
PHI,10.5,115,-140
PIT,8.5,110,-130
SEA,10.5,-115,-105
SF,9.5,-146,120
TB,8.5,115,-136
TEN,6.5,100,-120
WAS,7.5,-105,-115
